Mes,Ano,Alimentos,bebidas y tabaco,Productos químicos,Otras manufacturas,Productos textiles y del cuero,Total
Enero,2020,3237159,1793773,1443386,9244,1429888,4247
Febrero,2020,3322362,1701191,1621171,12010,1602796,6336
Marzo,2020,3915039,2061851,1853188,13146,1835399,4620
Abril,2020,3384499,1534237,1850263,17455,1829977,2773
Mayo,2020,3064046,1514141,1549905,12530,1535880,1329
Junio,2020,3527223,1704464,1822759,13307,1808641,674
Julio,2020,2784700,1050300,1734400,15657,1717579,1102
Agosto,2020,2856622,1061901,1794721,13977,1779720,865
Septiembre,2020,3024960,1234468,1790493,13763,1775830,829
Octubre,2020,3213275,1418269,1795005,7993,1786197,718
Noviembre,2020,3258149,1492355,1765795,10778,1753420,1567
Diciembre,2020,3537252,1717637,1819614,9928,1807088,2585
Enero,2021,3133446,1548423,1585023,13794,1568839,2351
Febrero,2021,3575452,1805473,1769980,16153,1751009,2659
Marzo,2021,4342510,2211224,2131286,24844,2101976,4369
Abril,2021,3987025,1816538,2170487,19341,2148942,2099
Mayo,2021,3784749,1761124,2023625,18676,2004330,562
Junio,2021,3831930,1666332,2165598,15206,2149294,942
Julio,2021,3448833,1263352,2185481,20398,2164214,800
Agosto,2021,3449063,1318799,2130264,15247,2114373,629
Septiembre,2021,3380950,1292522,2088427,19786,2067330,990
Octubre,2021,3597974,1452952,2145022,15753,2128135,823
Noviembre,2021,3986677,1899131,2087546,12706,2072755,1534
Diciembre,2021,4168322,1875297,2293024,11672,2279195,1234
Enero,2022,3632338,1732063,1900275,14134,1883511,1967
Febrero,2022,4109773,1886455,2223319,15046,2205837,2205
Marzo,2022,4916436,2208134,2708303,26928,2677204,3507
Abril,2022,4504014,2074811,2429203,23951,2403860,856
Mayo,2022,4581778,2066675,2515103,32186,2480661,1601
Junio,2022,4211960,1702975,2508985,31234,2476681,625
Julio,2022,4006357,1583254,2423103,20826,2400937,499
Agosto,2022,4160701,1555356,2605346,27821,2575753,1098